"","characteristic","site","Overall","BMC","HCG","JHH","SMH","SUB","p","percent_missing"
"35","severe_ards = 1 (%)","Hopkins","  1029 (77.6) ","  259 ( 76.4) ","   154 ( 88.5) ","   533 ( 74.8) ","    33 ( 84.6) ","   49 ( 81.7) "," 0.002","0.0"
"36","first_proseva_mode (%)","Hopkins","  ","  ","   ","   ","    ","   ","<0.001","0.7"
"37","   Assist Control-Volume Control","Hopkins","   876 (66.5) ","  328 ( 97.3) ","    18 ( 10.3) ","   493 ( 69.5) ","    36 (100.0) ","    1 (  1.7) ","","   "
"38","   Other","Hopkins","     4 ( 0.3) ","    0 (  0.0) ","     2 (  1.1) ","     1 (  0.1) ","     0 (  0.0) ","    1 (  1.7) ","","   "
"39","   Pressure Control","Hopkins","    33 ( 2.5) ","    4 (  1.2) ","    11 (  6.3) ","    18 (  2.5) ","     0 (  0.0) ","    0 (  0.0) ","","   "
"40","   Pressure Support/CPAP","Hopkins","    37 ( 2.8) ","    3 (  0.9) ","     2 (  1.1) ","    32 (  4.5) ","     0 (  0.0) ","    0 (  0.0) ","","   "
"41","   Pressure-Regulated Volume Control","Hopkins","   224 (17.0) ","    1 (  0.3) ","   139 ( 79.9) ","    25 (  3.5) ","     0 (  0.0) ","   58 ( 96.7) ","","   "
"42","   SIMV","Hopkins","   143 (10.9) ","    1 (  0.3) ","     2 (  1.1) ","   140 ( 19.7) ","     0 (  0.0) ","    0 (  0.0) ","","   "
"43","first_proseva_peep (mean (SD))","Hopkins","  9.05 (3.68)"," 9.07 (3.80)","  9.53 (3.34)","  8.95 (3.71)","  9.28 (3.83)"," 8.68 (3.48)"," 0.370","0.0"
"44","first_proseva_fio2 (mean (SD))","Hopkins","  0.89 (0.16)"," 0.87 (0.16)","  0.93 (0.13)","  0.87 (0.17)","  0.93 (0.12)"," 0.92 (0.15)","<0.001","0.0"
"45","max_norepi_equivalent (%)","Hopkins","  ","  ","   ","   ","    ","   ","<0.001","0.0"
"46","   0","Hopkins","   757 (57.1) ","  203 ( 59.9) ","    47 ( 27.0) ","   480 ( 67.3) ","    14 ( 35.9) ","   12 ( 20.0) ","","   "
"47","   1","Hopkins","   412 (31.1) ","   88 ( 26.0) ","    89 ( 51.1) ","   189 ( 26.5) ","    23 ( 59.0) ","   23 ( 38.3) ","","   "
"48","   2","Hopkins","   157 (11.8) ","   48 ( 14.2) ","    38 ( 21.8) ","    44 (  6.2) ","     2 (  5.1) ","   25 ( 41.7) ","","   "
