"","term","contrast","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","model"
"30","age_scale","dY/dX",-0.009,0.00904463898606497,-0.998645453708163,0.317966472924874,1.65305344225514,-0.0268,0.0087,"Model 3"
"31","bmi_scale","dY/dX",-0.0045,0.0056856925138797,-0.786042609847729,0.431842524523207,1.21142277904428,-0.0156,0.0067,"Model 3"
"32","female","1 - 0",0.003,0.0262019351280456,0.113170491420284,0.909895389777878,0.136227405976012,-0.0484,0.0543,"Model 3"
"33","hospital_id","HCG - BMC",0.0233,0.042995099708969,0.542915733176768,0.587187822867114,0.76810604508394,-0.0609,0.1076,"Model 3"
"34","hospital_id","JHH - BMC",0.0822,0.0316392469490479,2.59716301439462,0.00939973025814834,6.73316492795856,0.0202,0.1442,"Model 3"
"35","hospital_id","SMH - BMC",0.1202,0.0877973351453971,1.36859446392687,0.171126075481639,2.54686848642303,-0.0519,0.2922,"Model 3"
"36","hospital_id","SUB - BMC",-0.0749,0.0324329702841224,-2.31085056988785,0.0208411101461726,5.5844240618838,-0.1385,-0.0114,"Model 3"
"37","min_pf_ratio_scale","dY/dX",5e-04,0.00591582291881117,0.0784983142913641,0.937431671087439,0.0932145578590605,-0.0111,0.0121,"Model 3"
"38","nee_pressor_dose","1 - 0",0.0257,0.0398241969032988,0.645082194676725,0.518873921736316,0.946544066097094,-0.0524,0.1037,"Model 3"
"39","nee_pressor_dose","2 - 0",0.0426,0.0425265414820412,1.0017168029613,0.316480388937274,1.65981199068247,-0.0408,0.126,"Model 3"
"40","sofa_score_scale","dY/dX",-0.0157,0.00622662142463534,-2.5165490142502,0.0118510415088717,6.3988423362498,-0.0279,-0.0035,"Model 3"
"41","study_period","Post-COVID - COVID",-0.1725,0.0329041808310703,-5.24102695893378,1.59685381226202e-07,22.5782644203279,-0.2369,-0.108,"Model 3"
"42","study_period","Pre-COVID - COVID",-0.2187,0.0298659868697557,-7.32434514965078,2.40068087596857e-13,41.9216215955887,-0.2773,-0.1602,"Model 3"
